p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
2.7904799907756153e-7,-0.46055209289487653,0.259,0.401,0.007785160126264889,GLO1
2.792257530503991e-7,1.9431008720869896,0.13,0.054,0.007790119284353084,LINC00926
2.7965993035936047e-7,-0.6403287425939486,0.077,0.16,0.007802232397095797,ZCCHC9
2.838452044362953e-7,0.8381122356996357,0.455,0.38,0.007918997358568202,DNAJC3
2.899126201600533e-7,-0.5779501067961825,0.174,0.288,0.008088272189845327,ATP2A2
2.9587266405768733e-7,0.7203547106732433,0.418,0.332,0.00825455145454542,MDM4
2.968292422100305e-7,2.995449235963427,0.073,0.016,0.00828123902841764,CBLB
3.0784096102509915e-7,-0.4647598494009699,0.178,0.293,0.008588454971639242,RBM23
3.099351866710854e-7,1.48185833731598,0.158,0.075,0.008646881772936611,MYLIP
3.1403294378381776e-7,-0.7762497545095063,0.156,0.264,0.008761205098624731,IVNS1ABP
3.225678354654461e-7,-0.9217268765088427,0.044,0.111,0.00899932004165048,MED6
3.3487907042214884e-7,-4.89411297084767,0.001,0.027,0.00934279118570753,NR4A3
3.3529665443080755e-7,-0.5331124344459303,0.4,0.535,0.0093544413619651,TRAM1
3.3647418619696485e-7,-6.5548130791752515,0,0.024,0.009387293320709122,FCER1A
3.3647418619696485e-7,-5.457617228737849,0,0.024,0.009387293320709122,FHL1
3.3647418619696485e-7,-6.672924678416623,0,0.024,0.009387293320709122,PRSS21
3.3797513392880433e-7,-1.5181212952725702,0.006,0.04,0.009429168261479713,LPAR6
3.415698682456426e-7,-0.3725792775233201,0.505,0.654,0.009529457754185183,CACYBP
3.496687771994651e-7,-0.6153915481104487,0.125,0.223,0.009755409215087876,PAK1IP1
3.589289821959267e-7,0.7533287337916731,0.314,0.22,0.01001375967428416,LRRC58
3.5981158445727954e-7,-1.1696406023868406,0.069,0.146,0.010038383394773642,CMSS1
3.62028277934212e-7,-1.202765683996462,0.035,0.096,0.01010022692608658,ORC1
3.7292850493509607e-7,1.4176326648085034,0.213,0.127,0.010404332359184245,BAHCC1
3.8049675668196214e-7,0.5136165102520007,0.567,0.511,0.010615479014670063,SRSF11
3.868657228826575e-7,-0.6072553086181184,0.164,0.276,0.010793166802703261,SNRPA1
3.886157167886249e-7,-0.5311496958051581,0.197,0.317,0.010841989882685846,DDX1
3.9115711743129265e-7,-0.8495618963489315,0.04,0.104,0.010912892419215633,ING1
3.9801295504537664e-7,-0.6857905084697311,0.101,0.189,0.011104163432810963,AKR1B1
4.097333468281209e-7,0.7199403958438333,0.385,0.285,0.011431150643157745,PJA2
4.179260862983209e-7,6.410862073727461,0.04,0,0.011659719881636854,IRX3
4.2360958994415847e-7,-0.7393010550157271,0.049,0.119,0.011818283949852078,FAM45BP
4.464318586087588e-7,-0.3558003734844368,0.343,0.492,0.012455002423325761,SMARCC1
